Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
catalope.co/,Sweden,Catalope Games,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
catlab.eu/,Belgium,CatLab Interactive,?,X,X,?,?,?,X,2,?,?,X,?,2,C,?,?,?,?
catland.studio/,Finland,Catland studio,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
catnessgames.com/,Spain,Catness Game Studios,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
catswhoplay.com/new/index.php/ru/,Russia,Cats who play,?,X,X,?,?,?,?,5,?,?,X,?,5,B,?,?,?,?
cavaliergamestudios.co.uk/,UK,Cavalier Game Studios,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
cbe-software.com/,Czech Republic,CBE software,?,X,X,?,?,?,?,6,?,?,X,?,5,B,?,?,?,?
cccp.fr/,France,CCCP,?,X,X,?,?,?,?,8,?,?,X,?,5,B,?,?,?,?
ccpgames.com/,Iceland,CCP Games,?,X,X,?,?,X,?,5,?,?,X,?,12,A,?,?,?,?
celsius-online.com/,France,Celsius Online,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
chameleongames.com/,UK,Chameleon Games,?,X,?,?,?,?,?,1,?,X,X,humblebundle.com/,4,B,?,?,X,?
chaosforge.org/,Poland,Chaosforge,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
chargedmonkey.com/,Czech Republic,Charged monkey,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
charlesgames.net/,Czech Republic,Charles Games,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
charstudio.com/en/,Ukraine,CharStudio,?,?,X,?,?,?,?,10,?,?,-,?,-,-,?,?,?,?
chasing-carrots.com/,Germany,Chasing Carrots,?,X,?,?,?,?,?,4,?,X,X,humblebundle.com/,4,B,?,?,?,?
chef.gs/,Turkey,CHEF Game Studio,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
cherrypickgames.com/,Poland,Cherrypick Games,?,?,X,?,?,?,?,7,?,?,-,?,-,-,?,?,?,?
cherrypopgames.com/,UK,Cherry Pop Games,?,X,?,X,?,X,?,6,?,?,X,?,5,B,?,?,?,?
chibig.com/games/,Spain,Chibig,101xp,X,X,?,?,X,?,4,?,?,X,?,4,B,?,?,?,?
chimera-entertainment.de/index.html,Germany,Chimera Entertainment,?,X,X,?,?,?,?,26,?,?,X,?,4,B,?,?,?,?
