latitude,longitude,Country,Website,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games
47.516231,14.550072,Austria,dyadicgames.com/,Dyadic Games,?,X,?,?,?,?,?
40.463667,-3.74922,Spain,dyagames.com/,DYA Games,?,X,?,?,?,X,?
61.52401,105.318756,Russia,dynamicpixels.com/home,Dynamic Pixels,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,ea.com/studios/ghost-games,Ghost Games ,Electronic Arts,X,?,?,?,?,?
,,UK,eageramoeba.co.uk/,Eager Amoeba,?,X,?,?,?,?,?
,,UK,eagleislandgame.com/,PixelCount Studios,Screenwave Media,X,?,?,?,X,?
,,UK,earthboundgames.com/,Earthbound Games,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,easytrigger.com/,Easy Trigger Games,Coffee Stain Publishing,X,?,?,?,?,?
60.128161,18.643501,Sweden,eatcreatesleep.net/,Eat Create Sleep,?,X,?,?,?,?,?
46.227638,2.213749,France,ebim-studio.com/,Ebim Studio,Plug In Digital,X,?,?,?,?,?
51.919438,19.145136,Poland,eccgames.pl/,ECC GAMES S.A.,?,X,?,?,?,?,?
46.227638,2.213749,France,edengames.com/,Eden Games,?,X,X,?,?,X,?
46.227638,2.213749,France,ediogames.com/en/home/index,Ediogames,?,X,X,?,?,?,?
60.128161,18.643501,Sweden,eeldev.com/,Dry Eel Development,?,X,?,?,?,?,?
51.165691,10.451526,Germany,egosoft.com/,Egosoft,?,X,?,?,?,?,?
61.52401,105.318756,Russia,eidemiurge.itch.io/eidolons,Wyrmring,?,X,?,?,?,?,?
,,UK,eightpixelssquare.com/,EightPixelsSquare,?,?,X,?,?,?,?
,,UK,eightyeightgames.com/,EightyEight Games,?,?,X,?,?,?,?
44.016521,21.005859,Serbia,eipix.com/,Eipix,?,X,X,X,?,?,?
51.919438,19.145136,Poland,ejr.com.pl/ejr/intro.php,EJRGames,?,X,?,X,?,?,?
46.227638,2.213749,France,ekosystem.com/,Ekosystem,?,X,?,?,?,X,?
60.128161,18.643501,Sweden,eldenpixels.com/,Elden Pixels,?,X,?,?,?,?,?
47.162494,19.503304,Hungary,eldgames.com/,Elder Games,Headup,X,?,?,?,?,?
60.128161,18.643501,Sweden,eldring.se/,Eldring Games,?,?,X,?,?,?,?
,,UK,electricsquare.com/,Electric Square,?,X,X,?,?,?,?
,,UK,electronstudio.co.uk/,Electron Studio,?,X,?,?,?,?,?
61.52401,105.318756,Russia,elephant-games.com/,Elephant Games,Big Fish Games,X,X,?,?,?,?
41.87194,12.56738,Italy,elfgames.com/,Elf Game Works,?,X,?,?,?,?,?
61.52401,105.318756,Russia,elladagames.com/,Ellada Games,?,X,?,?,?,X,?
61.52401,105.318756,Russia,elmarion.ru/,Elmarion,?,X,?,?,?,?,?
61.52401,105.318756,Russia,elvista.net/,Elvista Media Solutions,?,?,X,?,?,?,?
61.52401,105.318756,Russia,emallstudio.com/,EM ALL Studio,?,?,X,?,?,?,?
46.151241,14.995463,Slovenia,emberheartgames.com/,Emberheart Games,?,X,?,?,?,?,?
58.595272,25.013607,Estonia,empiresinruins.com/,Hammer&Ravens,?,X,?,?,?,?,?
51.919438,19.145136,Poland,empyrean.games/,Empyrean games,?,X,?,X,?,?,?
49.817492,15.472962,Czech Republic,en.dreadlocks.cz/,Dreadlocks,?,X,X,?,?,?,?
60.472024,8.468946,Norway,encirclegames.com/,Encircle Games,?,X,?,?,?,?,?
48.379433,31.16558,Ukraine,eng.bestway.com.ua/,Best Way,1C,X,?,?,?,?,?
52.132633,5.291266,Netherlands,engine-software.com/,Engine Software,?,X,X,?,?,X,?
61.52401,105.318756,Russia,enplexgames.com/#about,Enplex Games,?,X,?,?,?,?,?
44.016521,21.005859,Serbia,entertainmentforge.com/,Entertainment Forge,GrabTheGames,X,?,?,?,?,?
51.165691,10.451526,Germany,entwickler-x.de/,EntwicklerX,?,X,X,?,?,X,?
40.463667,-3.74922,Spain,epgames.eu/,EP Games,?,X,X,X,?,X,?
45.943161,24.96676,Romania,erepubliklabs.com/,Erepubliklabs,?,?,X,?,?,?,?
46.227638,2.213749,France,eugensystems.com/,Eugen Systems,?,X,?,?,?,?,?
39.074208,21.824312,Greece,evdaimon.com/,Evdaimon Games,?,X,X,?,?,?,X
